Branch,Category,Round,Domicile,MinP,MaxP,MeanP,StdP,TotalSeats,BranchSeats,TotalCandidates,Trend
AIML,UR/NCC/OP,INTERNAL,Y,0.4859174095614488,0.5471588781084156,0.5165381438349321,0.043304257699382905,35.5,1.0,1264217.5,0.06124146854696681
AIML,UR/NCC/OP,R1,Y,0.47484623284267713,0.8837266746008579,0.6352439285173168,0.21820869825065467,78.0,1.0,1144675.0,0.036156322632869234
AIML,UR/NCC/OP,R1_Upgrade,Y,0.5471588781084156,0.5471588781084156,0.5471588781084156,0.0,64.0,1.0,1415110.0,0.0
AIML,UR/NCC/OP,R2,Y,0.6109455909101116,0.6109455909101116,0.6109455909101116,0.0,19.0,1.0,1113325.0,0.0
AIML,UR/S/OP,INTERNAL,Y,0.5213131770447995,0.8536820818614022,0.6874976294531008,0.23502030645136593,39.0,1.0,1190346.5,0.1
AIML,UR/S/OP,R1,Y,0.6031109426117776,0.8536820818614022,0.7364442860351075,0.1144162962620883,74.2,1.0,1169627.2,0.05842600851775721
AIML,UR/S/OP,R1_Upgrade,Y,0.5114985810355679,0.8536820818614022,0.7381291062118037,0.19628054810904685,56.333333333333336,1.0,1164672.6666666667,0.0980863878161643
AIML,UR/S/OP,R2,Y,0.37412886791166844,0.8146893315069723,0.5944090997093203,0.31152329133092854,22.0,1.0,1026166.5,0.1
AIML,UR/X/F,INTERNAL,Y,0.7193218801117776,0.8956499986780584,0.8443869706217978,0.054445524532581,37.22222222222222,2.888888888888889,1195251.5555555555,0.03464922059028701
AIML,UR/X/F,R1,Y,0.8026342693565975,0.9030068333910438,0.8655636280491491,0.04205306848985666,74.2,7.0,1169627.2,0.02479542653815931
AIML,UR/X/F,R1_Upgrade,Y,0.7193218801117776,0.8787101646461298,0.8310996179367309,0.06676134418461271,57.4,6.0,1169627.2,0.03698036113895368
AIML,UR/X/F,R2,Y,0.8348442727864729,0.9022685195542277,0.8682954565816576,0.028959792962081086,23.6,2.4,1276846.2,0.02021229190375865
AIML,UR/X/OP,INTERNAL,AI,0.7299394680343512,0.9260090270136753,0.8666399421358351,0.07807745348874942,39.6,1.6,1097271.6,0.054998270672656994
AIML,UR/X/OP,INTERNAL,Y,0.7306125187431842,0.9025410428966655,0.8535229933807439,0.056554681999765835,34.0,4.285714285714286,1256906.0,0.03389454453225759
AIML,UR/X/OP,R1,AI,0.9222683554367871,0.9438351084636124,0.9346755369760658,0.008546045144325217,74.2,3.0,1169627.2,0.004038142500341699
AIML,UR/X/OP,R1,Y,0.8018014755997819,0.9083463476337529,0.8741572147382811,0.04557717733884771,74.2,20.4,1169627.2,0.02634243559040586
AIML,UR/X/OP,R1_Upgrade,AI,0.907040195610687,0.9327348666499898,0.9174633644462725,0.011273162272472055,57.4,3.0,1169627.2,0.005432013398679683
AIML,UR/X/OP,R1_Upgrade,Y,0.7472726536941112,0.8885176153800786,0.8400928154127225,0.059692314008837004,57.4,17.6,1169627.2,0.03446610134436078
AIML,UR/X/OP,R2,AI,0.8964179463080608,0.9409962428435115,0.9232324988028692,0.016628522241095938,22.6,1.6,1169627.2,-0.004511598565605133
AIML,UR/X/OP,R2,Y,0.8694532144701682,0.9068878580004244,0.8914246743552564,0.01435595902446876,24.714285714285715,5.142857142857143,1256906.0,0.004881862593639949
