Year,Round,Institute,Branch,Category,Domicile,OpeningRank,ClosingRank,BranchSeats,TotalSeats,TotalCandidates
,,,,,,,,,,
2014,R1_Upgrade,MITS,BT,UR/X/OP,AI,81554,91715,2,26,1356000
2014,R1_Upgrade,MITS,BT,UR/X/OP,Y,99915,175263,8,26,1356000
2014,R1_Upgrade,MITS,BT,UR/X/F,Y,113348,180289,4,26,1356000
2014,R1_Upgrade,MITS,BT,OBC/X/OP,Y,140480,185771,3,26,1356000
2014,R1_Upgrade,MITS,BT,OBC/X/F,Y,319091,319091,1,26,1356000
2014,R1_Upgrade,MITS,BT,SC/X/OP,Y,651893,932694,8,26,1356000
2014,R1_Upgrade,MITS,CE,UR/X/OP,AI,40138,58377,3,77,1356000
2014,R1_Upgrade,MITS,CE,OBC/X/OP,Y,47063,71684,6,77,1356000
2014,R1_Upgrade,MITS,CE,UR/X/OP,Y,44776,85209,27,77,1356000
2014,R1_Upgrade,MITS,CE,UR/X/F,Y,109446,152362,13,77,1356000
2014,R1_Upgrade,MITS,CE,UR/S/OP,Y,165546,200083,2,77,1356000
2014,R1_Upgrade,MITS,CE,OBC/X/F,Y,114214,213433,2,77,1356000
2014,R1_Upgrade,MITS,CE,UR/FF/OP,Y,287390,287390,1,77,1356000
2014,R1_Upgrade,MITS,CE,SC/X/OP,Y,270514,317396,5,77,1356000
2014,R1_Upgrade,MITS,CE,SC/X/F,Y,360004,404531,2,77,1356000
2014,R1_Upgrade,MITS,CE,OBC/NCC/OP,Y,511693,511693,1,77,1356000
2014,R1_Upgrade,MITS,CE,ST/X/OP,Y,353567,582622,10,77,1356000
2014,R1_Upgrade,MITS,CE,UR/S/F,Y,621822,621822,1,77,1356000
2014,R1_Upgrade,MITS,CE,OBC/H/OP,Y,711813,711813,1,77,1356000
2014,R1_Upgrade,MITS,CE,ST/X/F,Y,690287,716660,3,77,1356000
2014,R1_Upgrade,MITS,CHEM,UR/X/OP,AI,77865,77865,1,52,1356000
2014,R1_Upgrade,MITS,CHEM,UR/X/OP,Y,94104,132118,19,52,1356000
